Original_Keywords,Mapped_Terms,Scores
"Breast cancer
Survivorship
Treatment effects
Long-term effects
Heterogeneity
Multidisciplinary approach
Cancer survivors
United States
Clinical trials
Late effects","Breast Feeding
Survivors
Treatment Failure
Longevity
Genetic Heterogeneity
Interdisciplinary Communication
Soccer
United States
Clinical Trial
Radiation Effects","0.7294
0.8133
0.8702
0.5025
0.7494
0.6132
0.6555
1.0000
0.8857
0.5316"
"Peto's paradox
comparative oncology
evolutionary thinking
cancer emergence
tumour growth
metastasis
cancer defences
natural selection
biology
ecology
carcinogenesis
incidence
lethality
cancer epidemiology
prevention","Proprioception
Mycology
Philosophy
Early Detection of Cancer
Raw Foods
Neoplasm Metastasis
Proto-Oncogene Proteins c-yes
Natural History
Science
Theology
Carcinogenesis
Incidence
Lathyrism
Early Detection of Cancer
Inventions","0.5580
0.5340
0.6107
0.5458
0.6426
0.5792
0.4625
0.7660
0.7061
0.5532
0.7501
0.6027
0.5856
0.5529
0.5288"
"Metals
Biology
Host-pathogen interface
Mammalian hosts
Pathogens
Metal homeostasis
Regulatory systems
Strategies
Fighting pathogens
Essential metals
Toxicity
Complexing reagents
Microbial regulatory apparatus","Metals
Biology
Host-Pathogen Interactions
Animals, Domestic
Carcinogens
Metestrus
Down-Regulation
Strategic Stockpile
Blood-Borne Pathogens
Trace Elements
Toxicity Tests
Chemical Processes
Microbial Viability","1.0000
1.0000
0.7557
0.6048
0.6767
0.6424
0.6067
0.6454
0.6004
0.6945
0.8142
0.5853
0.6002"
"Cannabinoids
Endocannabinoid system
Immune function
Phytocannabinoids
CB1 and CB2 receptors
Anandamide (AEA)
2-Arachidonylglycerol (2-AG)
Monocytes
Macrophages
Lymphocytes
Dendritic cells
Basophils
Medical implications
Synthetic cannabinoids","Cannabinoids
Endocannabinoids
Immune System
Endocannabinoids
Receptor, Cannabinoid, CB1
Anomia
1-Acylglycerol-3-Phosphate O-Acyltransferase
Monocytes
Macrophages
Lymphocytes
Dendritic Cells
Basophils
Patient Rights
Cannabinoids","1.0000
0.8193
0.8313
0.7906
0.7223
0.5842
0.5925
1.0000
1.0000
1.0000
0.9576
1.0000
0.6593
0.8472"
"Epigenetics
Bone homeostasis
Remodeling
Skeletal tissue
Inheritance
Development
Disease states
Mechanistic characterization
Tissue dynamics
Consensus
Emerging concepts
Future directions","Epigenomics
Bone Banks
Bone Remodeling
Muscle, Skeletal
Inheritance Patterns
Plant Development
Disease
Mechanics
Tissues
Consensus
Quantum Theory
Program Development","0.8341
0.6890
0.7726
0.7418
0.8160
0.7800
0.7924
0.7085
0.6654
1.0000
0.6583
0.6620"
"Autoimmunity
Etiology
Immune homeostasis
Self-tolerance
Imbalanced immune responses
Pathogenic autoimmune phenotypes
Advances in the field
Therapies","Autoimmunity
Etiolation
Immune System Processes
Self Tolerance
Immune System Diseases
Autoimmune Diseases
Track and Field
Physical Therapists","1.0000
0.5678
0.6539
0.9173
0.6837
0.7360
0.5643
0.7215"
"Asthma
Childhood
Monitoring
Treatment
Clinical control
Risks
Assessments
Age
Severity
Variability
Exacerbations
Comorbidities
Socioeconomic factors
Psychosocial factors
Environmental exposures","Asthma
Adolescent Development
Monitoring, Physiologic
Death
Social Control, Formal
Risk
Needs Assessment
Cells
Fever
Genetic Variation
Bronchial Diseases
Comorbidity
Socioeconomic Factors
Social Environment
Environmental Exposure","1.0000
0.7573
0.7908
0.9823
0.6633
0.7345
0.6782
0.9820
0.6017
0.7209
0.5845
0.7581
0.7680
0.7367
0.9215"
"Chronic thromboembolic pulmonary hypertension
Pulmonary hypertension
Treatment landscape
Obstructed pulmonary arterial vessels
Organized thromboembolic material
Underdiagnosed and undertreated
Progressive PH
Right ventricular failure","Hypertension, Pulmonary
Hypertension, Pulmonary
Treatment Failure
Pulmonary Artery
Thromboembolism
Diagnosis
Peptide PHI
Heart Failure","0.6207
0.7881
0.6448
0.7297
0.7283
0.5177
0.6290
0.7276"
"Alzheimer's disease
Prevention strategies
Preclinical stages
Dementia
Vascular factors
Lifestyle-related factors
Pathophysiological processes
Physical activity
Mental training
Early detection
Nonpharmacological methods
Pharmacological methods
Amyloid cascade","Alzheimer Disease
Primary Prevention
Embryonic Development
Dementia
Vascular Diseases
Sedentary Lifestyle
Pathologic Processes
Exercise
Mental Recall
Diagnostic Services
Polypharmacology
Pharmacology
Amyloidogenic Proteins","0.9439
0.7053
0.6714
1.0000
0.7779
0.6119
0.7838
0.7885
0.7134
0.7071
0.7280
0.8569
0.6629"
"Cytokines
T cell subsets
Immune-mediated diseases
Inflammation
Tissue damage
Pro-inflammatory cytokines
Anti-inflammatory cytokines
Pathogenic T cells
Protective T cells
IL-17 /IL-23 axis
Th17 cells
T regulatory (Treg) cells
Therapeutic targets/agents
Immune pathology and therapy","Cytokines
T-Lymphocytes
Immune System Diseases
Inflammation
DNA Damage
Inflammation Mediators
Anti-Inflammatory Agents
Endocrine Cells
Endocrine Cells
Interleukin-17
Th17 Cells
T-Lymphocytes, Regulatory
Therapeutics
Immune System Diseases","1.0000
0.6781
0.7876
1.0000
0.7749
0.5793
0.6232
0.6896
0.6344
0.7097
0.9813
0.6995
0.5881
0.6893"
"Vaccine immunity
Enhancing vaccine value
Disease targets
Infectious diseases prevention
Life span increase
Aging population protection
Immunology advancements
Structural biology
Synthetic biology
Genomics
Vaccine adjuvants
Non-technical challenges
Safety controversies
Regulatory complexity
Value assessment methods","Vaccine Potency
Vaccine Potency
Disease
Infectious Disease Medicine
Life Expectancy
Population Control
Immunotherapy
Synthetic Biology
Synthetic Biology
Genomics
Vaccines, Conjugate
Satellite Communications
Safety
Origin Recognition Complex
Predictive Value of Tests","0.7141
0.6509
0.7319
0.7565
0.5614
0.6522
0.7712
0.7268
0.9378
1.0000
0.7969
0.5512
0.7689
0.6216
0.6547"
"Psychiatry
Symptoms
Diseases
Nosology
Kraepelin
Wernicke
Störring
Ziehen
Gaupp
Hoche
Jaspers
Gruhle
Meaning
Mental symptoms
Epistemological unit of analysis","Psychiatry
Signs and Symptoms
Animal Diseases
Novobiocin
Kloeckera
Wernicke Area
Starlings
Phenetidine
Forms
Humeral Head
Yawning
Giraffes
Reading
Mental Disorders
Epidemiologic Research Design","1.0000
0.7921
0.7056
0.5718
0.6369
0.8659
0.6246
0.6215
0.6288
0.5883
0.5802
0.6600
0.6188
0.7244
0.4924"
"Ring-tailed lemurs
Species re-imagined
Long-studied primate species
Behavior
Biology
Ecology
Genetics
Palaeobiology
Life history
New generation of scholars
High altitude habitats
Spiny thicket habitats
Rocky outcrop habitats
Anthropogenically disturbed habitats
Madagascar flagship species","Lemur
Species Specificity
Animal Structures
Behavior
Biology
Ecology
Genetics
Palaeognathae
Value of Life
Fellowships and Scholarships
Utah
Beetles
Arthropods
Anthropology
Madagascar","0.5814
0.6677
0.6002
1.0000
1.0000
1.0000
1.0000
0.7325
0.7243
0.5999
0.5758
0.5905
0.5908
0.6118
0.7284"
"Haemophobia
Nursing students
Clinical practice
Responsibilities
Fainting
Blood exposure
Mentors
Undergraduate education
Off-duty concerns
On-duty expectations","Homophobia
Students, Nursing
Professional Practice
Response Elements
Lifting
Occupational Exposure
Mentors
Education, Medical, Undergraduate
Personnel Turnover
Surgical Attire","0.7360
0.6890
0.8545
0.7140
0.6403
0.8282
1.0000
0.8266
0.5906
0.6071"
"Intellectual disabilities
Mortality
Understanding
Data analysis
Concerns
Special edition","Intellectual Disability
Mortality
Social Theory
Food Analysis
Uncertainty
Journal Article","0.8252
1.0000
0.6449
0.7686
0.6383
0.7449"
"Genetic influences
Peer relationships
Family relationships
Adolescent development
Gene-environment interplay
Behavior genetic methodology
Adolescent adjustment
Innovative behavior genetic methodological approaches
Environmental moderation
Genetic risk
Dopamine regulation genes
Positive and negative environments
Developmental outcomes
Concerted action of genes and environments","Genetic Processes
Interpersonal Relations
Professional-Family Relations
Adolescent Development
Gene-Environment Interaction
Selection, Genetic
Adolescent Behavior
Genetics, Behavioral
Environmental Psychology
Risk Factors
Dopamine Antagonists
Environmental Psychology
Language Development
Nested Genes","0.7612
0.6463
0.7428
0.9670
0.8483
0.6299
0.7382
0.6010
0.7159
0.6823
0.7251
0.6798
0.7484
0.6526"
"Neurologic disorders
Sexuality
Bladder dysfunction
Lower urinary tract
Diagnosis
Treatment
Ancient literature
Contemporary methods
Prevalence
Physician preparedness
Patient communication
Neurologist education
Trust in patient-doctor relationship","Neurotic Disorders
Sexuality
Urinary Bladder
Lower Urinary Tract Symptoms
Diagnosis
Death
Literature, Modern
Methods
Prevalence
Physicians' Offices
Patient Care
Neurology
Professional-Patient Relations","0.7582
1.0000
0.7458
0.7731
1.0000
0.9823
0.7548
0.6507
1.0000
0.7248
0.7061
0.6694
0.6105"
"Vertebrate body axis
Anterior-posterior patterning
Timing in development
Wnt signaling
Complex timers
BMP-anti BMP mechanism
Organiser inducing factor nodal
Somitogenesis timer
Axial pattern formation
Hox genes
TST (time-space translation) mechanism
Sequential patterning
Ventral-dorsal transitions
Retinoids
FGFs (fibroblast growth factors)","Vertebrates
Dominance, Cerebral
Fetal Development
Wnt1 Protein
Sleep Phase Chronotherapy
Bone Morphogenetic Protein Receptors
Factor For Inversion Stimulation Protein
Organogenesis
Axons
Hinge Exons
Twist Transcription Factor
Programs
Ventral Tegmental Area
Retinoids
Fibroblast Growth Factor 1","0.6570
0.5335
0.7685
0.8682
0.5334
0.5686
0.5494
0.6179
0.6633
0.5425
0.5162
0.5795
0.5173
1.0000
0.8619"
"Mummy anatomy
Ancient human remains
Soft tissue preservation
Mummification process
Scientific study
Cultural preservation
Transdisciplinary research
State-of-the-art analysis","Anatomy
Dehumanization
Therapy, Soft Tissue
Mummies
Clinical Study
Cultural Evolution
Qualitative Research
Replica Techniques","0.7591
0.6009
0.6354
0.7172
0.8005
0.6326
0.7458
0.5365"
"Autoinflammation
Innate immune system
Monogenic autoinflammatory diseases
Infection
Autoimmunity
Homeostasis
Evolutionary function
Innate immune pathways
Chronic inflammatory disease","Autoimmunity
Immunity, Innate
Hereditary Autoinflammatory Diseases
Infection
Autoimmunity
Homeostasis
Evolution, Molecular
Immunity, Innate
Inflammatory Bowel Diseases","0.7737
0.7833
0.6708
1.0000
1.0000
1.0000
0.7143
0.6964
0.7401"
"Livestock models
Translational medicine
Human diseases
Rodent models
Pathogenesis
Infectious diseases
Metabolic disorders
Neoplastic disorders
Genetic disorders
Microbiology
Vaccine development
Stem cell therapy
Institutional Animal Care and Use Committees
Animal health
Food production","Livestock
Translating
Animal Diseases
Rodenticides
Surgeons
Infectious Disease Medicine
Metabolic Diseases
Neoplastic Processes
Genetic Diseases, Inborn
Microbiology
Vaccines
Brain Stem
Laboratory Animal Science
Water Resources
Crop Production","0.8196
0.6987
0.8650
0.7622
0.9712
0.7799
0.8350
0.6792
0.7710
1.0000
0.8333
0.7466
0.7779
0.9581
0.6905"
"Bioethics
Philosophy of medicine
Organ donation
Defining death
Fairness in distribution
Medical practice
Humanities
Ethical inquiry
Medical resources
Bioethical questions","Bioethics
Philosophy, Medical
Living Donors
Death Certificates
Normal Distribution
Group Practice
Humanities
Ethical Analysis
Clinical Medicine
Bioethical Issues","1.0000
0.8192
0.7966
0.7789
0.7103
0.8840
1.0000
0.7463
0.7426
0.8604"
"Epigenetics
Gene regulation
Chromatin modifications
DNA methylation
Histone covalent modifications
RNA interference
Non-coding RNAs
Cancer
Neurodegenerative disorders
Alzheimer's disease
Pharmacology
Drug development
Human disease
Disease control","Epigenomics
Gene Library
Chromatin
DNA Methylation
Histone Chaperones
RNA Interference
RNA, Long Noncoding
Acer
Neurodegenerative Diseases
Alzheimer Disease
Pharmacology
Drug Design
Disease
Disease Management","0.8341
0.9795
0.7816
0.7247
0.6590
0.8360
0.7187
0.7297
0.9425
0.9439
1.0000
0.8473
0.8518
0.8545"
"Developmental trajectories
Cognitive-behavioral phenotypes
Intellectual impairment
Genetics
Behavioral abnormalities
Human growth
Intellectual disability
Inheritance of intellectual ability
Sir Francis Galton
Alfred Binet
Theodore Simon
Intelligence testing
Pediatrics
Developmental psychology","Plant Development
Behavior and Behavior Mechanisms
Intellectual Disability
Genetics
Behavioral Symptoms
Growth
Intellectual Disability
Intellectual Disability
Gyrus Cinguli
Freedom
Psychodidae
Intelligence Tests
Pediatrics
Psychology, Developmental","0.8334
0.6519
0.7968
1.0000
0.8037
0.8626
0.7805
0.5632
0.5153
0.6068
0.5670
0.9369
1.0000
0.8256"
"Electronic health records (EHRs)
Health information technology (HIT)
Primary care practices
Patient care
Implementation strategies
Functionality relevance
Clinician and patient utility
Information overload
Actionable information
Informatics developers
HIT decisions
Care team trainings
Patient engagement
Health systems","Electronic Health Records
Health Information Systems
Group Practice
Medical Staff
Practice Management
Recovery of Function
Physician-Patient Relations
Iron Overload
Access to Information
Informatics
Hunger
Nurse Clinicians
Patient Participation
Political Systems","0.7553
0.7134
0.8357
0.9605
0.5901
0.5832
0.6549
0.5334
0.6089
0.8431
0.5469
0.6089
0.6151
0.8011"
"High-pressure transvenous perfusion
Upper extremity
Muscular dystrophy
Safety study
0.9% saline
Dose escalation
Intravenous analgesia
Feasibility
Phase 1/2 clinical trial
Duchenne muscular dystrophy
Limb girdle muscular dystrophy
Regional macromolecular therapeutics","Venous Pressure
Upper Extremity
Muscular Diseases
Safety
2S Albumins, Plant
Dose Fractionation
Analgesia
Feasibility Studies
Clinical Trial, Phase II
Muscular Dystrophy, Duchenne
Muscular Dystrophies, Limb-Girdle
Molecular Targeted Therapy","0.5668
0.8073
0.7960
0.7847
0.5217
0.6915
0.6194
0.7517
0.8471
0.8271
0.7973
0.6382"
"Editorial
Issue
Reviews
Broad interests
Therapeutic antibodies
Prophylactic antibodies
Autophagy
Autoimmunity","Editorial
Elements
Review
Conflict of Interest
Autoantibodies
Autoantibodies
Autophagy
Autoimmunity","1.0000
0.5904
0.8231
0.6338
0.7160
0.6455
1.0000
1.0000"
"Parental aging
Childhood implications
Delayed childbearing
Perinatal risks
Maternal age
Paternal age
Sperm aging
Egg aging
Offspring health","Paternal Age
Child Abuse
Home Childbirth
Perinatal Mortality
Maternal Age
Paternal Age
Sperm Head
Aging
Multiple Birth Offspring","0.7583
0.7473
0.6767
0.7721
0.9540
0.9526
0.6849
0.7572
0.7162"
"Fertility
Longevity
Natural fertility
Contraception
Late-age conceptions
Genetic factors
Environmental factors
Pregnancy
Rejuvenation
Infertility
Morbidity
Mortality","Fertility
Longevity
Fertility
Contraception
Adolescent Development
Genetic Processes
Environmental Exposure
Pregnancy
Rejuvenation
Infertility
Morbidity
Mortality","1.0000
1.0000
0.8575
1.0000
0.6089
0.7865
0.7894
1.0000
1.0000
1.0000
1.0000
1.0000"
"X-ray Pump-Probe
Femtosecond time-resolution
Hard X-ray methods
Free-electron laser source
Photon energy range
Femtosecond optical laser system
Transient states of matter
Ultrafast processes
Physical, chemical and biological processes
Atomic scale transformation
Energy transfer","Infusion Pumps, Implantable
Spectroscopy, Fourier Transform Infrared
X-Ray Film
Lasers, Excimer
Energy Transfer
Fiber Optic Technology
Magnetic Phenomena
Ultrafiltration
Biological Processes
Biotransformation
Energy Transfer","0.5454
0.5336
0.7351
0.6636
0.7260
0.6561
0.5040
0.5531
0.7549
0.5485
0.9825"
"Schizophrenia prevention
Premorbid phase intervention
Developmental vulnerabilities
Psychosis interventions
Clinical high-risk phase
Early intervention
Neurocognitive development
Psychosocial interventions
Psychopharmacological interventions
Ethical challenges
Empirical testing","Schizophrenia, Childhood
Preoperative Period
Developmental Biology
Psychotherapy, Multiple
Risk
Inventions
Neurodevelopmental Disorders
Psychotherapy, Group
Psychopharmacology
Ethicists
Anonymous Testing","0.7213
0.6349
0.7335
0.7835
0.5529
0.7739
0.7140
0.6651
0.8445
0.7014
0.7934"
"Epistemology
Health
Medicine
Care
Philosophy
Clinical practice
Ethics
Metaphysics
Bedside
Understanding
Reality
Knowledge
Value","Meristem
Health
Medicine
Managed Care Programs
Philosophy
Professional Practice
Ethics
Metaphysics
Bed Rest
Social Theory
Reality Testing
Knowledge
Trust","0.6519
1.0000
1.0000
0.7130
1.0000
0.8545
1.0000
1.0000
0.6402
0.6449
0.6565
1.0000
0.7451"
"Bioactive metabolites
Contaminants
Fruits
Vegetables
Food chemistry
Congress
Florence
Italy
Nutraceuticals
Health claims
Extraction
Processing
Byproducts
Treatment
Valorization","Biomarkers, Pharmacological
Water Pollutants, Chemical
Fruit
Vegetables
Clinical Chemistry Tests
Dictionary
Smell
Italy
Nuts
Insurance Claim Review
Traction
Paint
Budgets
Death
Valerates","0.6022
0.5749
0.6644
1.0000
0.7706
0.7422
0.6392
1.0000
0.6486
0.7431
0.7470
0.8726
0.5999
0.9823
0.6857"
"Ticks
Infectious diseases
United States
Regional information sharing
Biology
Ecology
Public health
Vector-borne diseases
Mid-Atlantic Tick Summit III
Cross-disciplinary collaborations
Tick-bite risk reduction
Treatment of tick-borne diseases","Ticks
Infectious Disease Medicine
United States
Access to Information
Biology
Ecology
Public Health Practice
Tick-Borne Diseases
Mid-Atlantic Region
Interdisciplinary Communication
Tick Bites
Tick-Borne Diseases","1.0000
0.7799
1.0000
0.5871
1.0000
1.0000
0.8927
0.6993
0.5269
0.7045
0.7388
0.6700"
"Induced pluripotency
Cellular reprogramming
Basic research
Clinical translation
Opportunities
Stem cells
Regenerative medicine
Therapeutic applications
Developmental biology
Gene expression
Epigenetics","Induced Pluripotent Stem Cells
Cellular Reprogramming
Support of Research
Child Language
Opportunistic Infections
Stem Cells
Regenerative Medicine
Therapeutic Uses
Developmental Biology
Gene Expression
Epigenomics","0.6523
0.8059
0.8092
0.6549
0.5733
0.9189
0.9631
0.6232
0.9646
0.9365
0.8341"
"Typhoid fever
Vaccines
Burden of disease
Low-resource areas
World Health Organization
High-risk groups
Outbreak control
Economic evaluations
Transmission dynamic models
Vaccine strategies
Pilot projects","Typhoid Fever
Vaccines
Disease
Poverty Areas
World Health Organization
Risk Factors
Freedom
Economics
Respiratory Transport
Vaccine Potency
Pilot Projects","0.8228
1.0000
0.7285
0.6912
1.0000
0.7548
0.7339
0.7301
0.4942
0.7671
0.9513"
"Molecular pathogenesis
Infectious diseases
Research
Pathogens
Brucellae
Staphylococcus aureus
Influenza
Trypanosoma cruzi
Reviews
Special issue","Organogenesis
Infectious Disease Medicine
Research
Carcinogens
Brucella
Staphylococcus aureus
Influenza, Human
Trypanosoma cruzi
Review
Patient Rights","0.6051
0.7799
1.0000
0.6767
0.9142
1.0000
0.8700
1.0000
0.8231
0.6630"
"Psychotherapy
Research
Anniversary issue
Journal development
Methodology
Diversity
Consistency
International reach","Psychotherapy
Research
Anniversaries and Special Events
Journalism
Methods
Biodiversity
Conscience
Europe","1.0000
1.0000
0.7134
0.6698
0.7191
0.7311
0.6316
0.6194"
"Malnutrition
Prevention
Treatment
Moderate acute malnutrition
Severe acute malnutrition
Sustainable Development Goals
Management
Interventions
Symposium
International cooperation
Child nutrition
World Food Programme
Micronutrient Initiative
International Atomic Energy Agency
Global health","Malnutrition
Secondary Prevention
Death
Malnutrition
Malnutrition
Organisation for Economic Co-Operation and Development
Management Audit
Inventions
Meeting Abstracts
International Cooperation
Food Supply
World Health Organization
Micronutrients
United States Agency for International Development
Global Health","1.0000
0.7746
0.9823
0.6820
0.6912
0.6192
0.6125
0.9193
0.8181
0.7959
0.8849
0.6822
0.7349
0.6545
0.9506"
"Community-university food projects
Race
Health promotion
Diet-related conditions
Obesity
Diabetes mellitus
Cardiovascular disease
Hypertension
Minority populations
Low-income populations
Disparities
Nutrition education
Food access
Community-based participatory research","Voluntary Programs
Race Relations
Health Promotion
Diet, Mediterranean
Obesity
Diabetes Mellitus
Cardiovascular Diseases
Hypertension
Minority Groups
Poverty Areas
Parity
Nutrition Assessment
Food Deprivation
Community-Based Participatory Research","0.6156
0.8816
0.8156
0.6576
1.0000
0.8633
0.8491
1.0000
0.9411
0.6684
0.5767
0.8312
0.6663
0.8946"
"Neurohormones
Brain
Behavior
Comparative approach
Rapid neuroendocrine action
Hormone mechanisms
Molecular approaches
Electrophysiological methods
Biochemical techniques
Integrative approaches
Neuroplasticity
Discovery
Understanding","Hormones
Brain
Behavior
Comparative Study
Receptors, Neurotensin
Hormones
Gene Library
Electrophysiology
Biochemistry
Integrative Medicine
Neurogenesis
Food Services
Social Theory","0.7968
1.0000
1.0000
0.7142
0.5983
0.8657
0.6714
0.9223
0.7887
0.7975
0.7328
0.6462
0.6449"
"Gasotransmitters
NO (Nitric Oxide)
CO (Carbon Monoxide)
H2S (Hydrogen Sulfide)
Pharmacology
Translational opportunities
Biological signaling
Medical applications
Therapeutic potential
Molecular mechanisms","Gasotransmitters
Nitric Oxide
Carbon Monoxide
Hydrogen Sulfide
Pharmacology
Transients and Migrants
Systems Biology
Mobile Applications
Therapeutics
Models, Molecular","1.0000
0.9182
0.8519
0.8441
1.0000
0.5777
0.6742
0.6084
0.6459
0.6340"
"Ovarian infertility
Older women
POF (Premature Ovarian Failure)
Testicular infertility
Human functional diseases
In vitro maturation (IVM)
In vitro fertilization (IVF)
Ovarian stem cells (OSCs)
Granulosa cells
Follicular renewal
Circulating blood mononuclear cells
Small blood volume replacement
Tissue rejuvenation
Honey bee propolis tincture","Infertility
Women's Health
Polycystic Ovary Syndrome
Infertility
Germ Theory of Disease
In Vitro Oocyte Maturation Techniques
Infertility, Female
Embryonal Carcinoma Stem Cells
Granulosa Cells
Follicular Phase
MNSs Blood-Group System
Blood Volume Determination
Rejuvenation
Torture","0.7247
0.6933
0.5344
0.7655
0.6088
0.5416
0.6688
0.5979
0.9502
0.8279
0.5908
0.6947
0.6700
0.5524"
"Firearm violence
Public health problem
Mental illness
Law
Gun control
Dangerous people
Access to guns
Prevention
Cultural entrenchment
Constitutional protection
Policies
Reduce firearm violence","Firearms
Public Health Practice
Mental Health
Directory
Social Control, Formal
Dangerous Behavior
Wounds, Gunshot
Secondary Prevention
Cultural Characteristics
Radiation Protection
Pictorial Works
Harm Reduction","0.7973
0.7945
0.6905
0.8736
0.5769
0.5500
0.5945
0.7746
0.6870
0.6161
0.6578
0.5762"
"Sociality
Health
Disease susceptibility
Transmission
Animal societies
Human societies
Fitness
Parasites
Grooming
Group living
Infectious disease
Non-infectious disease
Social competition
Social integration
Social buffering","Social Environment
Health
Disease Susceptibility
Patient Transfer
Societies, Scientific
Social Values
Physical Fitness
Parasites
Grooming
Independent Living
Infectious Disease Medicine
Bone Diseases, Infectious
Managed Competition
Systems Integration
Relief Work","0.7325
1.0000
0.7760
0.7118
0.6883
0.6540
0.8246
1.0000
1.0000
0.7152
0.8049
0.6149
0.7309
0.7175
0.6686"
"Biomarker
Measurement
Evaluation
Indicator
Normal biologic processes
Pathogenic process
Pharmacologic response
Therapeutic intervention
FDA
National Institutes of Health
Consensus conference
Surrogate endpoints
Clinical research
Applications
Medical measurements","Molecular Probes
Cell Size
Ethics
Indicator Dilution Techniques
Biological Processes
Pathologic Processes
Pharmacologic Actions
Play Therapy
Daunorubicin
National Institutes of Health (U.S.)
Consensus Development Conference
Endpoint Determination
Empirical Research
Directory
Manometry","0.6142
0.6867
0.9629
0.6571
0.7099
0.8313
0.8009
0.6852
0.6475
0.8606
0.8991
0.6617
0.7681
0.8565
0.6723"
"Southern Africa
HIV prevention
Care interventions
Global pandemic
Rapid expansion
High prevalence
Host biology
Viral factors
Human behavior
Politics and policy
Structural factors
Health services
Health workforce
Migration
Traditional healers
Epidemiological trends
HIV care and treatment
Policymakers
Healthcare workers
Scientists","South Australia
HIV
Inventions
Coronavirus
Tissue Expansion
Prevalence
Integration Host Factors
Viral Proteins
Social Behavior
Politics
Group Structure
Health Policy
Workplace
Animal Migration
Osteopathic Medicine
Epidemiological Monitoring
HIV Infections
Pentanes
Healthcare Disparities
Biology","0.7071
0.7126
0.7014
0.5862
0.6399
0.8653
0.6644
0.7203
0.8610
0.8003
0.6310
0.8367
0.7610
0.8117
0.6662
0.7934
0.6976
0.7010
0.7766
0.6708"
"Periodontal therapy
Regeneration
Biologic research
In vitro laboratory models
Preclinical models
Human studies
Wound repair
Bone repair
Cell culture
Animal models
Stem cell research
Scaffold designs
Growth factors
Gingival coverage","Periodontitis
Regeneration
Biotechnology
Biological Assay
Models, Biological
Clinical Study
Surgical Wound
Bone Wires
Primary Cell Culture
Linear Models
Stem Cell Research
Drawings
Growth Differentiation Factors
Gingival Overgrowth","0.7712
1.0000
0.7038
0.6957
0.7575
0.8716
0.8741
0.7762
0.8785
0.8209
0.7223
0.6713
0.8076
0.7232"
"HIV continuum of care
High-prevalence cities
United States
NHAS goals
CDC initiatives
Surveillance programs
Programmatic research
Quality of care monitoring
Research projects
Academic partnerships
HIV treatment optimization
Prevention programs
CFAR/APC HIV Continuum of Care Working Group
Local DOH communication
Implications for jurisdictions","HIV Long-Term Survivors
Prevalence
United States
Nacre
Government Programs
Biosurveillance
Program Evaluation
Quality Control
Raw Foods
Academies and Institutes
HIV Infections
Inventions
HIV Long-Term Survivors
Hospital Communication Systems
Confidence Intervals","0.6345
0.6914
1.0000
0.5564
0.5989
0.6921
0.6693
0.6535
0.9505
0.6218
0.6991
0.6888
0.5182
0.5828
0.6353"
"Brain
Hearing aids
Cortical processing
Cognitive processing
Sound categorization
Memory
Technological interventions
Behavioral interventions
Prediction
Design
Evaluation
Listener's ears","Brain
Hearing Disorders
Neocortex
Cognitive Reserve
Sound Localization
Memory
Genotyping Techniques
Behavior Therapy
Food Safety
Writing
Ethics
Seals, Earless","1.0000
0.7213
0.6791
0.7480
0.8274
1.0000
0.7211
0.8671
0.9735
0.7532
0.9629
0.6093"
"Hearing health care
Oldest older adults
Challenges
Auditory decline
Cognitive decline
Social changes
Emotional changes
Lifestyle changes
Physical disabilities
Comorbidities
Personalized needs assessments
Interprofessional teams
Shared decision making
Treatment options","Delivery of Health Care
Age Groups
Patient Rights
Persons With Hearing Impairments
Cognitive Aging
Social Change
Emotional Adjustment
Sedentary Lifestyle
Sports for Persons with Disabilities
Comorbidity
Needs Assessment
Interdisciplinary Communication
Clinical Decision-Making
Treatment Failure","0.7580
0.7094
0.7354
0.5566
0.7478
0.7658
0.7519
0.6625
0.7184
0.7581
0.6524
0.7286
0.6943
0.8294"
"Wound care
Therapeutic options
Negative pressure wound therapy
Instillation and dwell time
Surgical incision management
Open abdomen management
Epidermal skin harvesting
Advanced wound dressings
International Surgical Wound Forum
Educational forum
Multidisciplinary healthcare providers","Wound Healing
Treatment Failure
Negative-Pressure Wound Therapy
Instillation, Drug
Surgical Instruments
Abdomen, Acute
Plasma Skin Regeneration
Wound Healing
Conversion to Open Surgery
Education
Interdisciplinary Communication","0.8024
0.6557
0.7662
0.5196
0.7125
0.5453
0.6783
0.7571
0.6241
0.6519
0.6112"
"Reproducibility
Accuracy
Cell signaling experiments
Board of Reviewing Editors
Science Signaling
Methodological considerations
Sources of error
Biological ""n""
Statistical analyses
Quantitative Western blotting
Proteomics
Parameterization
Quantitative models
Cellular networks","Reproducibility of Results
Letter
CCN Intercellular Signaling Proteins
Posters as Topic
Science
Evaluation Studies
Diagnostic Errors
Biological Markers
Population Characteristics
Immunoblotting
Proteomics
Kinetics
Linear Models
Cellular Structures","0.8101
0.6848
0.6227
0.6647
0.6514
0.6337
0.6544
0.5756
0.7180
0.7149
1.0000
0.6133
0.7833
0.6724"
"Qualitative Research
Psychology
Misconceptions
Potentials
Paradigmatic battles
Re-orientation
Workshop
Future
Aalborg University
Contributions","Qualitative Research
Psychology
Therapeutic Misconception
Evoked Potentials
Parakeets
Orientation
Work
Life
Unverricht-Lundborg Syndrome
Manuscripts","1.0000
1.0000
0.6621
0.6593
0.5145
0.6740
0.6988
0.7969
0.5590
0.7664"
