LLM_Keywords,Year
"1. Reproducibility
2. Accuracy
3. Cell signaling experiments
4. Board of Reviewing Editors
5. Science Signaling
6. Methodological considerations
7. Sources of error
8. Biological ""n""
9. Statistical analyses
10. Quantitative Western blotting
11. Proteomics
12. Parameterization
13. Quantitative models
14. Cellular networks",2015
"1. Qualitative Research
2. Psychology
3. Misconceptions
4. Potentials
5. Paradigmatic battles
6. Re-orientation
7. Workshop
8. Future
9. Aalborg University
10. Contributions",2016
"1. Probiotics
2. Prebiotics
3. Intestinal microbiota
4. Children
5. Paediatric perspective
6. Nutrition
7. International Symposium
8. Key opinion leaders
9. Congress
10. Gut microbiota
11. Microbiotics
12. Lifespan impact
13. Special issue
14. Beneficial Microbes",2016
"1. CASP scale
2. Quality of life
3. Early old age
4. Needs satisfaction model
5. Research developments
6. Cutting edge research
7. Working conditions
8. Religiosity
9. Western and Eastern Europe
10. Africa
11. Influencing factors
12. Measure limitations
13. Future work",2015
"1. Halophytes
2. Salt tolerance
3. Adaptations
4. Extremophiles
5. Land revegetation
6. Forages
7. Livestock
8. Salt-tolerant crops
9. Molecular mechanisms
10. Biochemical mechanisms
11. Physiological mechanisms
12. Membrane transport
13. Compatible solutes
14. Reactive oxygen species
15. Interacting stress factors",2015
"1. Epiblast
2. Primitive endoderm
3. Differentiation
4. Embryogenesis
5. Pluripotency markers
6. In vitro tracking
7. Blastocysts
8. Fate commitment
9. Irreversible commitment
10. Live imaging",2016
"1. Pediatric obesity
2. Introduction
3. Prevalence
4. Childhood obesity
5. Medical consequences
6. Psychological effects
7. Neurocognitive abnormalities
8. Genotypic variation
9. Body weight regulation
10. Etiopathogenesis",2016
"1. Health professions
2. Special issue
3. Journal Acta BioMedica
4. Positive reactions
5. Diverse perspectives
6. Medical field
7. Publication
8. Second edition",2016
"1. Attachment-based treatments
2. Adolescents
3. Psychopathology
4. Family distress
5. Caregiver-adolescent attachment bond
6. Interventions
7. Change mechanisms
8. Security
9. Treatment elements
10. Measurement
11. Evaluation
12. Dynamic process",2016
"1. Raman spectroscopy
2. Spatial resolution
3. High spatial resolution
4. Meeting scope
5. Spectroscopy techniques
6. Optical microscopy
7. Imaging techniques
8. Chemical analysis
9. Material characterization
10. Advanced imaging methods",2015
"1. Cardiac conditioning
2. Lessons learned
3. Past experiences
4. Future perspectives
5. Conditioning drugs
6. Translation pathways",2016
"1. Research tools
2. Resources
3. Importance recognition
4. New developments
5. Scientific advancements
6. Information management
7. Data analysis
8. Collaboration
9. Innovation
10. Knowledge sharing
11. Efficiency improvement
12. Methodology enhancement
13. Technological integration
14. Problem-solving strategies
15. Academic progress",2016
"1. Generalized joint hypermobility
2. Joint hypermobility syndrome
3. Ehlers-Danlos syndrome, hypermobility type
4. Connective tissue defects
5. Non-syndromic joint hypermobility
6. Risk factors for non-communicable diseases
7. Long-term disabilities
8. Assessment and differential diagnosis
9. Physiotherapy
10. Nervous system dysfunctions",2015
"1. Immune-mediated hepatobiliary diseases
2. Autoimmunity
3. Hepatocytes
4. Cholangiocytes
5. Primary biliary cirrhosis
6. Autoimmune hepatitis
7. Primary sclerosing cholangitis
8. Inflammatory bowel disease
9. Immune pathways
10. Regulatory cells
11. Genetic background
12. Environmental features
13. Immunopathology
14. Therapy
15. Biologics",2016
"1. Sociotechnical systems
2. Workplace safety
3. On-the-job accidents
4. Fatalities
5. Human suffering
6. Research approaches
7. Systemic influences
8. Social/organisational factors
9. Technological factors
10. Hopkinton Conference
11. State-of-the-art reviews
12. Key concepts
13. Safe organisations
14. Unsafe organisations",2016
"1. Fire
2. Worker health and safety
3. Triangle Shirtwaist Factory
4. Fire safety measures
5. Laws
6. Dangerous working conditions
7. Advances
8. Workplace fire safety practices
9. Regulations
10. Training
11. Safety requirements
12. Hazard communication laws
13. Disaster planning
14. Response
15. West, Texas fertilizer plant explosion
16. Fuel cargo trains derailments
17. Garment factory fires in Bangladesh
18. Uneven safety standards
19. Regulatory enforcement
20. New Solutions on fire and work",2015
"1. Noninvasive brain stimulation
2. Transcranial magnetic stimulation (TMS)
3. Transcranial direct current stimulation (tDCS)
4. Neurorehabilitation
5. Stroke
6. Pediatrics
7. Traumatic brain injury
8. Focal hand dystonia
9. Neuropathic pain
10. Spinal cord injury
11. Stereotactic navigation
12. Electric field modeling
13. Clinical application
14. Therapeutic benefit
15. Synergistic potential",2015
"1. Modeling
2. Measures
3. Research workshop
4. Lorentz Center
5. Leiden
6. The Netherlands
7. August 2013
8. Communities
9. Researchers
10. Fields
11. Interdisciplinary
12. Collaboration",2015
"1. Schizotypy
2. Psychopathology
3. Schizophrenia liability
4. Conceptual framework
5. Endophenotypes
6. Rado
7. Meehl
8. Gottesman
9. Lenzenweger
10. Methodological approach
11. Pathogenesis
12. Schizophrenia-related psychopathology",2015
"1. Schizotypy
2. Research
3. Integration
4. Development
5. Construct
6. Paul E. Meehl
7. International Lemanic Workshop on Schizotypy
8. University of Geneva
9. Schizophrenia
10. Psychological health research
11. Knowledge
12. Understanding
13. Conceptual frameworks
14. Methodological frameworks
15. Scientific challenges",2015
"1. Evidence-based practice
2. Cultural competence
3. Mental health services
4. Special issue
5. Anthropology
6. Psychology
7. Psychiatry
8. Social work research
9. Interdisciplinary conversation
10. Tensions in mental health care
11. Diversification of clinical practice
12. Cultural divergences in psychosocial experience",2016
"1. WWOX
2. tumor suppressor protein
3. structure
4. function
5. signaling
6. metabolism
7. neurodegeneration
8. ataxia
9. epilepsy
10. neural disorders
11. neuronal damages
12. oncogenic viruses
13. chromosomal alterations
14. cancer progression
15. physiological functions",2015
"1. Working memory
2. Cognitive processes
3. Language comprehension
4. Problem solving
5. Baddeley and Hitch (1974)
6. Theory of working memory
7. Research articles
8. Thriving field
9. Perspectives
10. Future developments",2016
"1. Neuropsychopharmacology
2. Brain health
3. Psychiatric disorders
4. Neurological disorders
5. Therapeutic progress
6. Causes and pathophysiological substrates
7. Treatment development
8. European College of Neuropsychopharmacology (ECNP)
9. Research and Development (R and D)
10. Drug discovery
11. Clinical development
12. Collaborative ventures
13. Genetics
14. Epigenetics
15. Depression
16. Neurodevelopmental disorders
17. Neurodegenerative disorders
18. Neuroimaging",2016
"1. Co-occurring disorders
2. Criminal justice system
3. Mental health
4. Substance use
5. Justice-involved persons
6. Psychiatric rehabilitation
7. Special section
8. Original articles
9. Gender
10. Age
11. Settings
12. Environment
13. Geographic region
14. Nationality",2015
"1. Rehabilitation
2. Patients
3. Methodologies
4. Information
5. Medicine
6. Technologies
7. Human factors
8. Information and Communication Technologies (ICT)
9. Empowerment
10. Disabled people
11. Health care
12. ICT as a useful tool
13. Advanced systems
14. Rehabilitation process",2016
"1. Jaw diversity
2. Evolutionary origins
3. Structural characteristics
4. Functional roles
5. Soft-bodied invertebrates
6. Electron microscopy
7. Neuromuscular control
8. Elemental composition
9. Hardness and wear resistance
10. Comparative anatomy
11. Rotifers
12. Energy dispersive X-ray spectroscopy (EDX)
13. 3D modeling
14. Biomimetic constructs
15. Invertebrate taxa",2016
"1. Subjective memory complaints
2. Neurocognitive disorders
3. Memory functioning in old age
4. Associations between subjective and objective memory performance
5. Cross-sectional methodologies
6. Longitudinal methodologies
7. Developmental trajectories of subjective memory
8. Personality characteristics
9. Depressive symptoms
10. Functional health
11. Control beliefs
12. Retrospective and prospective memory difficulties
13. Mild cognitive impairment
14. Dementia
15. Future research avenues",2016
"1. Evidence-based therapy relationships
2. APA Divisions 12 & 29 Task Force
3. Critical appraisal
4. Overlapping terminology
5. Definitions
6. Meta-analyses
7. Study inclusion
8. Constructs
9. Therapeutic relationship elements
10. Case formulation
11. Adaptation
12. Clinically relevant changes",2016
"1. Adolescents
2. Young adults
3. Learning disabilities
4. ADHD
5. Neuropsychological features
6. Educational features
7. Familial features
8. Socioemotional features
9. Interventional programs
10. Academic achievements
11. Class environments
12. Mixed qualitative and quantitative data analysis",2017
"1. Nosology
2. Developmental psychopathology
3. Integration
4. Neurobiological dimensions
5. Psychopathological syndromes
6. Statistical methods
7. Neurobiological findings
8. Syndromal approach
9. Provisional approach
10. Individual dimensions
11. Contextualized dimensions
12. Major clinical syndromes
13. Developmental context
14. Dimensional-categorical understanding",2015
"1. Medical conferences
2. Enthusiasts
3. Intervention bias
4. Healthcare innovation
5. Infection prevention
6. Complex systems
7. Empirical approach
8. Trial and error
9. Debate
10. Cross-fertilization
11. Sub-specialties
12. Inspiration
13. Healthcare-associated infection
14. State of the art",2015
"1. Sensory perception
2. Middle-aged adults
3. Aging effects
4. Auditory processing
5. Speech perception
6. Research forum
7. Hearing Across the Lifespan (HEAL) 2014
8. Special session",2016
"1. Narrative health psychology
2. Qualitative research
3. Health psychology
4. Interdisciplinary approach
5. Narrative health research
6. Positioning
7. Features
8. Relevance
9. Special issue
10. Development
11. Future direction",2015
"1. Sociology of childhood
2. Childhood experiences
3. Health and illness
4. Social construction
5. Intergenerational relations
6. Health policy
7. Children as social agents
8. Co-construction of social world
9. Critical analysis
10. Child health normality",2015
"1. Violence
2. America
3. Group dynamic
4. Group therapy
5. Mental health
6. Anger management
7. Domestic violence
8. Terrorism
9. Clinical concerns
10. Treatment levels
11. Perpetrators
12. Screening
13. Group contexts
14. Empathy
15. Boundaries",2016
"1. Trauma
2. Dissociation
3. Self-injury
4. Suicidality
5. Nonsuicidal self-injury (NSSI)
6. Posttraumatic disorders
7. Childhood maltreatment
8. Emotion dysregulation
9. Integrative clinical constructs
10. Risk assessment
11. Intervention models
12. Longitudinal studies
13. Diverse populations",2016
"1. Practice evolution
2. Professional development
3. Field advancement
4. Editorial focus
5. Daily practice
6. Impact assessment
7. Five-year outlook",2015
"1. Levels of analysis
2. Cognitive science
3. Vision
4. Marr's conception
5. Information-processing systems
6. Algorithmic level
7. Representational level
8. Cognitive-level concepts
9. Reductionist neuroscience
10. Bayesian approaches",2016
"1. Neurodegenerative diseases
2. Targeted therapeutics
3. Aged-related disorders
4. Progressive conditions
5. No cure or lasting symptomatic therapy
6. Prodromal phase
7. Neuronal compensated dysfunction
8. Therapeutic intervention
9. Protein homeostasis
10. Misfolded toxic proteins
11. Protein trafficking
12. Cellular organelles
13. Endosomes, lysosomes, autophagosomes, mitochondria
14. Protein Clearance in Neurodegenerative diseases
15. Special Issue on ""Protein Clearance in Neurodegenerative diseases: from mechanisms to therapies""",2016
"1. Redox processes
2. Thiols
3. Signaling pathways
4. Protein activity
5. Conformation
6. Oligomerization
7. Oxidative stress
8. Paradigm shift
9. Redox modifications
10. Cellular environment
11. Molecular structure
12. Reaction mechanisms
13. Signaling pathways role
14. Thiols and oxidative processes",2015
"1. Federal workers' compensation
2. Department of Defense (DoD)
3. Veterans Health Administration (VHA)
4. Occupational and Environmental Medicine
5. Supplement
6. Workers' Compensation Programs
7. History
8. Lessons learned
9. Cooperation
10. Human resources
11. Safety
12. Occupational health
13. Information sharing
14. Root cause analysis
15. Injury prevention",2015
"1. Inflammatory mechanisms
2. Regulators
3. Inflammatory response
4. Feedback mechanisms
5. Modulation
6. Therapies
7. Inflammation
8. Disease resolution
9. In vivo experiments",2015
"1. Sustainability
2. Egg production
3. Commercial-scale
4. Housing systems
5. Coalition for Sustainable Egg Supply (CSES)
6. Multi-stakeholder group
7. Research
8. Animal health and well-being
9. Environment
10. Food safety
11. Worker health and safety
12. Food affordability
13. Integrated field study
14. Poultry Science",2015
"1. Next-generation sequencing
2. Biological sciences
3. Environmental sciences
4. Metagenomes
5. Metatranscriptomes
6. CDNA
7. Archaea
8. Bacteria
9. Eukarya
10. Viruses
11. Non-model species
12. Genomics
13. Transcriptomics
14. Biodiversity
15. NGS technologies",2015
"1. On-label drug use
2. Off-label drug use
3. Reproductive medicine
4. FDA-approved uses
5. Prescription drugs
6. Disorders
7. Pregnant women
8. Risk-benefit ratio
9. Treatment
10. Clinical studies",2016
"1. Women and children
2. Vulnerable populations
3. Maternal and child health
4. Public health
5. Sustainable development
6. Economic development
7. Global commitment
8. Millennium Development Goals
9. Sustainable Development Goals
10. Neonatal mortality
11. Under-5 mortality
12. Maternal mortality
13. Preventable deaths
14. Healthcare services
15. Cost-effective interventions",2015
"1. Biopsychosocial processes
2. Etiology
3. Internalizing problems
4. Development
5. Longitudinal studies
6. Factors
7. Processes
8. Comprehensive understanding
9. Integrative perspective
10. Prevalence
11. Severity",2016
"1. Pancreatic cancer
2. Resectable pancreatic cancer
3. Oncological resection
4. Survival advantage
5. Patient selection
6. Serum biomarkers
7. Surgical resections",2016
"1. Nuclear organization
2. Reviews
3. Theme
4. Cell nucleus
5. Structure
6. Function
7. Molecular mechanisms
8. Proteins
9. Interactions
10. Regulation",2015
"1. Sleep
2. Child development
3. Introduction
4. Monograph
5. Literature
6. Growth
7. Exciting new directions
8. Conceptual principles
9. Methodological tools
10. Importance of sleep
11. Multiple domains
12. Theory and research integration
13. State-of-the-art methodologies
14. Developmental ecological systems perspective
15. Longitudinal studies",2015
"1. Immunology
2. Bacterial infection
3. Control
4. World's leading cause of death
5. Podcast
6. Interview
7. Guest editor
8. Carl Nathan
9. Immune system
10. Infection control
11. Public health
12. Disease prevention
13. Bacterial pathogens",2015
"1. David Hartley
2. Madness
3. Imperfections of reason
4. Mental functioning
5. Vibrations of nerves
6. Newton's theory
7. Association of ideas
8. John Locke
9. Nosology
10. Nosography",2016
"1. Risk communication
2. Violent behavior
3. Offending behavior
4. Recidivism
5. Correctional contexts
6. Forensic contexts
7. Risk assessment
8. Numerical risk terms
9. Categorical risk terms
10. Statistical literacy
11. Forensic risk communication research
12. Medical risk assessment",2015
"1. Periodontal diseases
2. Peri-implant diseases
3. Prevention
4. Consensus conference
5. European Workshop on Periodontology
6. High prevalence
7. Public health issue
8. Systematic reviews
9. Meta-reviews
10. Tailored prevention
11. Diagnosis
12. Risk profiling
13. Gingival bleeding
14. Periodontal screening
15. Health promotion",2016
"1. Chemical Residue Workshop
2. North American
3. Agricultural and Food Chemistry
4. Symposium
5. Quality Control
6. Quality Assurance
7. Analytical Methods
8. Contaminants
9. Food Safety
10. Environmental Analysis
11. Feed Analysis
12. Botanical Samples
13. Bee Samples",2015
"1. Gonadotropin-releasing hormone agonist
2. Final follicular maturation
3. In vitro fertilization (IVF)
4. GnRH agonist trigger
5. Follicle maturation
6. Oocyte retrieval
7. High responders
8. Ovarian hyperstimulation syndrome (OHSS)
9. Steroidal luteal support
10. Fresh embryo transfer
11. Live birth
12. Vitrification
13. Embryo segmentation
14. Freezing all embryos",2015
"1. Genomics
2. Plant-microbe interactions
3. Microbial symbionts
4. Pathogens
5. Complex microbial communities
6. Translational research
7. Insights
8. Dissemination
9. Promotion
10. Articles",2015
"1. Failed back surgery syndrome
2. Surgery technology
3. Pathology understanding
4. Patient-centered approach
5. Dynamic back
6. Multimodality approach
7. Brain pain site attention
8. Neuro-augmentation
9. Pain control
10. Welfare systems
11. Disability promotion
12. Successful therapy
13. Passionate observers
14. Skillful solutions",2015
"1. Mexican-origin families
2. United States population
3. Family scholarship
4. Cultural processes
5. Gender socialization
6. Developmental periods
7. Life transitions
8. Longitudinal studies
9. Acculturation
10. Reciprocal socialization
11. Interdependence in families
12. Methodological issues
13. Future research",2016
"1. Chronic pain
2. Pharmacological treatment
3. Novel targets
4. Therapeutic regimes
5. Individualization
6. Pain heterogeneity
7. Analgesic treatment
8. Nonopioid interactions",2015
"1. Obsessive compulsive disorder (OCD)
2. Lifespan treatment
3. Evidence-based treatments
4. Psychological interventions
5. Pharmacological interventions
6. Disability
7. Mental disorders
8. DSM-5 classification
9. Accessibility to care
10. Specialty certification/accreditation
11. Canadian Institute for Obsessive Compulsive Disorders (CIOCD)
12. Accreditation Task Force (ATF)",2015
"1. Solvation Science
2. Physical Chemistry
3. Theoretical Chemistry
4. Industrial Chemistry
5. Inorganic Chemistry
6. Organic Chemistry
7. Biochemistry
8. Physics
9. Engineering
10. Reactions",2015
"1. Carbohydrate Research
2. Journal history
3. Carbohydrate science
4. International journal
5. Editor line-up
6. Electronic publishing
7. Elsevier Company
8. Research data archive
9. Molecular aspects of carbohydrates",2015
"1. Behavioral interventions
2. Academic outcomes
3. Learning disabilities
4. Emotional disabilities
5. Behavioral disabilities
6. Developmental disabilities
7. Reading
8. Science
9. Social studies
10. Literature reviews
11. Intervention studies
12. Task engagement
13. School readiness",2016
"1. Adaptability
2. Plasticity
3. Plant science
4. Organismal response
5. Morphological changes
6. Physiological changes
7. Behavioral changes
8. Climate change
9. Agro-climatic adaptation
10. Phenotypic plasticity
11. Genotype-environment interaction (GxE)
12. Ecology
13. Agricultural science
14. History of agriculture
15. Population ecology",2015
"1. Health system research
2. Vietnam
3. Policy-relevant knowledge
4. Socioeconomic development
5. Health system improvement
6. Efficiency and effectiveness
7. Policy actions
8. Health of people and communities
9. Research papers
10. Insights
11. Planning, management, policy-making decisions",2015
"1. Complementary methods
2. Two-way street
3. CCP4 Study Weekend
4. Introduction
5. Scientific collaboration
6. Structural biology
7. Protein crystallography
8. Computational methods
9. Data analysis
10. Crystallographic techniques",2015
"1. Veterans' health
2. Epidemiology
3. Military personnel
4. Physical health
5. Mental health
6. Research infrastructure
7. Department of Defense
8. Department of Veterans Affairs
9. Clinical databases
10. International collaboration
11. Health needs
12. Global research community
13. Military exposures",2015
"1. Epidemiology
2. Bicycle injuries
3. Risk factors
4. Serious injury
5. Prospective case-control study
6. Hospital emergency departments
7. Medical examiner's offices
8. Questionnaire
9. Injury data
10. Helmet use
11. Collision with motor vehicle
12. Speed
13. Age
14. Neck injury
15. Prevention",2015
"1. Cell biology
2. G protein signaling
3. G protein-coupled receptors
4. Second messengers
5. Signal encoding
6. Biosensors
7. Live cell monitoring
8. Endosome signaling
9. Cytoplasmic activators
10. GIV (Girdin)
11. Pharmacology",2015
"1. Companion diagnostics
2. Personalized medicine
3. In vitro diagnostics
4. Targeted drugs
5. Pharmacotherapy
6. Biomarker detection
7. Patient profiling
8. Multiplex platforms",2015
"1. Steroid promiscuity
2. Enzyme action
3. Diversity
4. Cytochromes P450 (CYP)
5. Hydroxysteroid dehydrogenases (HSDs)
6. Substrates
7. Conformations
8. Catalysis
9. Biological actions
10. Sterol signaling",2015
"1. Molecular biology databases
2. Nucleic Acids Research Database Issue
3. RNAcentral
4. ValidatorDB
5. SASBDB
6. MoonProt
7. ComPPI
8. Complex Portal
9. Cancer-related databases
10. Genomic basics of disease
11. Potential drugs and drug targets
12. NAR online Molecular Biology Database Collection",2015
"1. Personalized medicine
2. Genotypes
3. Molecular phenotypes
4. Quantified self
5. Multi-scale models
6. Microbiome
7. Immune traits
8. Metabolic traits
9. Clinical data
10. Electronic medical records
11. Wearable sensor technologies
12. Phenome
13. Envirome
14. Population cohorts
15. Informatics methodologies",2016
"1. Crowdsourcing
2. Data mining
3. Crowd data
4. Articles
5. Acknowledgements
6. References",2016
"1. Community-based arts initiatives
2. Science of the arts
3. Rewards and challenges
4. Art and science tensions
5. Social change promotion
6. Researching community-based arts
7. Diversity of populations and settings
8. Values and methods of inquiry
9. Action-oriented approaches",2015
"1. Autobiographical memory
2. Cultural context
3. Cross-cultural research
4. Functional usages
5. Daily life
6. Childhood to old age
7. Global understanding
8. Memory research",2015
"1. Climate change
2. Land-use change
3. Landscape processes
4. Biodiversity
5. Ecosystem services
6. Adaptive governance
7. Norrström catchment
8. Lake Mälaren
9. South-central Sweden
10. Spatiotemporal scales
11. Interactions
12. Feedback processes
13. Future challenges
14. Society",2016
"1. Old lesbians
2. Community
3. Relationships
4. Friendship
5. Well-being
6. Homophobia
7. Policy decision
8. Research analysis
9. Early research
10. Future research studies",2015
"1. Nutrition
2. Microbiome
3. Annual review
4. Guest editors
5. Carlo Agostoni
6. Kwang Sik Kim
7. Pediatrics
8. Department of Clinical Sciences and Community Health
9. University of Milan
10. Fondazione IRCCS Cà Granda Ospedale Maggiore Policlinico
11. Johns Hopkins University School of Medicine
12. Bloomberg School of Public Health
13. Johns Hopkins Children's Center
14. Pediatric Infectious Diseases
15. Microbiology and Immunology",2015
"1. Practical interventions
2. Office-based care
3. Patient care enhancement
4. Specific interventions
5. Direct implementation
6. Low cost
7. Learning and unlearning
8. Immediate changes
9. Reader engagement
10. Feedback sharing",2015
"1. LGBT resilience
2. Cultural differences
3. Well-being
4. Diversity
5. Representation
6. Immigration
7. Marginalized populations
8. Transgender
9. Lesbian
10. Gay
11. Bisexual
12. Queer
13. Questioning",2015
"1. Visual modality
2. Language structure
3. Conventionalization
4. Sign language
5. Gesture
6. Communication
7. Deaf communities
8. Linguistic expression
9. Co-speech gestures
10. Semantic integration
11. Temporal integration
12. Conventionalization process
13. Emergence of linguistic structure
14. Multiple levels of representation
15. Communicative systems",2015
"1. Quality improvement
2. Performance measurement
3. Cancer services
4. Ontario healthcare system
5. Learning healthcare system
6. Radiotherapy capacity
7. Transformative change
8. Financial contracting
9. Quality and access measures
10. Improvement panel metrics
11. Population-wide reporting
12. Renal services expansion",2016
"1. Metacognition
2. Mentalizing
3. Psychotherapy
4. Psychosis
5. Personality disorders
6. Self-awareness
7. Emotional understanding
8. Thought awareness
9. Complex self-representation
10. Interpersonal challenges
11. Treating clinicians",2015
"1. Public understanding of science
2. Research
3. Systematic approach
4. Academic studies
5. English-speaking world
6. United States
7. United Kingdom
8. Canada
9. Australia
10. New Zealand
11. Empirical material
12. Unheard voices
13. New voices
14. Other parts of the world",2015
"1. Sexual and reproductive health
2. Progress
3. Outstanding needs
4. International Conference on Population and Development (ICPD)
5. Universal access
6. Maternal mortality ratio (MMR)
7. Unmet need for modern contraception
8. Skilled birth attendance
9. Demographic and Health Surveys
10. Multiple Indicator Cluster Surveys
11. Household wealth
12. HIV incidence and prevalence
13. Integrated services
14. Investment in SRH",2016
"1. Sleep problems
2. Adolescence
3. Public health issue
4. Biopsychosocial model
5. Contextual model
6. Developmental science
7. Developmental psychopathology
8. Attention-deficit/hyperactivity disorder (ADHD)
9. Complex interconnections
10. Empirical articles
11. Future research directions",2015
"1. Environment
2. Patients
3. Gametes
4. Embryos
5. Fetus
6. Newborns
7. Childhood development
8. Consequences
9. Views and Reviews",2015
"1. Child analytic principles
2. Educational models
3. School consultations
4. Psychopharmacology
5. Therapeutic nursery
6. Special needs schools
7. Mainstream schools
8. Psychoanalytic practice
9. Dyadic work
10. Play therapy
11. Deep-sea symbolism
12. Sexting
13. In-depth assessment
14. Enriching exchanges
15. Communities",2016
"1. War against women
2. Psychoanalytic culture
3. Freud
4. Victorian views
5. Gender conceptualizations
6. Antediluvian views
7. Contemporary psychoanalysis
8. Institutional prejudice
9. Consulting room
10. Third-wave feminism
11. Child analysis
12. Organizational bias",2016
"1. Gender analysis
2. Scientific masculinities
3. Global history of science and medicine
4. Late Middle Ages to present
5. Social constructions of masculinity
6. Differentiation between men
7. Dominance of men in sciences
8. Masculinity in science
9. Gender as analytical category
10. Historical object
11. Professionalization of scientific practices
12. Technological and medical practices
13. Spaces of labor
14. Sex, gender, sexual orientation
15. Metaphors in society and culture",2016
"1. Crop yield
2. Food security
3. Malnutrition
4. Plant mineral nutrition
5. Transport
6. Sensing
7. Signaling
8. Nutrient uptake
9. Regulation
10. Agricultural productivity",2016
"1. Mindfulness
2. Compassion
3. Human development
4. Contemplative practices
5. Life span perspective
6. Developmental focus
7. Construct conceptualization
8. Measurement
9. Socialization practices
10. Families
11. Interventions
12. Care-givers",2015
"1. Cardiovascular disease
2. Male sexual dysfunction
3. Erectile dysfunction
4. Pathophysiology
5. Treatment options
6. Health care professionals
7. Primary complaint
8. Link between ED and CVD",2016
"1. Adolescent sexual and reproductive health
2. International Conference on Population and Development
3. Reproductive health education
4. Sexual and reproductive health services
5. Youth-friendly services
6. Gender inequality
7. Knowledge gaps
8. Post-2015 development agenda
9. Adolescent SRH intervention packages
10. Early adolescence
11. Reproductive rights
12. Sexuality education
13. Service needs of adolescents
14. Positive and responsible sexual behavior
15. Comprehensive definition of reproductive health",2015
"1. Comet assay
2. Genotoxicology
3. Environmental toxicology
4. Human biomonitoring
5. DNA damage
6. DNA repair
7. Innovative methods
8. Technical issues
9. Guidelines
10. Historical context",2015
"1. Violence
2. Group dynamic
3. Group therapy
4. America
5. Contributions
6. Understanding
7. Treating
8. Clinical experience
9. National dialogue
10. Pervasive nature
11. Causes
12. Different forms
13. Sociocultural values
14. Myths
15. Historical context",2016
"1. Environmental health sciences
2. Developmental Origins of Health and Disease (DOHaD)
3. Chemical exposures
4. Early-life development
5. Non-communicable diseases
6. Critical windows of susceptibility
7. Signaling changes
8. Epigenetic influences
9. Grant analysis
10. Publication data
11. Endocrine disruptors
12. Pesticides/persistent organic pollutants
13. Brain health endpoints
14. Reproduction
15. Cancer",2016
"1. Health communication
2. Message design
3. Research area
4. Communication discipline
5. Kentucky Conference on Health Communication
6. Special issue
7. Health behaviors
8. Theoretical approaches
9. Methodological approaches
10. Practical approaches",2016
"1. Mitochondrial biology
2. Molecular identification
3. Channels and transporters
4. Mitochondrial permeability transition pore (mPTP)
5. Calcium homeostasis
6. Mitochondrial dynamics",2015
"1. Portion size
2. Eating habits
3. Nutrient density
4. Energy density
5. Obesity prevention
6. Children
7. Symposium
8. Scientific understanding
9. Individual differences
10. Caregiver decisions
11. Family-based interventions
12. Weight control
13. Policy considerations",2015
"1. Hydrogen sulfide (H2S)
2. Biology
3. Medicine
4. Cognitive function
5. Vascular tone
6. Ischemia protection
7. Inflammation regulation
8. Cell growth
9. Oxygen sensing
10. Senescence
11. Nitric oxide (NO) interaction
12. Polysulfides
13. Therapeutic potential
14. H2S-donating compounds
15. International Conference on H2S",2015
"1. Systems toxicology
2. Pharmaceutical drug safety testing
3. Non animal-based approach
4. Toxicodynamics
5. Biokinetics
6. Early stage drug development
7. In silico modeling
8. Cost effective
9. Rapid assessment
10. Predict-IV project",2016
"1. X-linked adrenoleukodystrophy
2. ABCD1 gene mutation
3. Chinese patient
4. Neurodegenerative disorder
5. Recessive inheritance
6. Childhood cerebral ALD
7. Molecular analysis
8. Splicing mutation
9. Intron 1",2016
"1. Viruses
2. Disease
3. Prevention
4. Diagnosis
5. Treatment
6. Virology
7. Pathology
8. Viral pathogenesis
9. Vaccination strategies
10. Treatments
11. Ebola virus
12. Marburg virus
13. Coronaviruses
14. Nipah virus
15. Noroviruses",2015
"1. Philosophical aspects
2. Hate crime
3. Hate crime legislation
4. Conceptual question
5. Normative question
6. Status of hate crimes
7. Justification of hate crime legislation
8. Special symposium
9. Philosophy of hate crime",2016
"1. Cell death
2. Immune system
3. Instructors
4. Homeostasis
5. Therapeutic interventions
6. Malfunctioning
7. Corpse removal
8. Immune responsiveness
9. Open questions
10. Context
11. 'Eat me' signals
12. Cell clearance
13. Residual debris
14. Immunological consequences",2015
"1. Translational pathology
2. Toxicologic pathology
3. Human health
4. Annual STP Symposium
5. Hazard identification
6. Risk assessment
7. Risk communication
8. Exposure to toxic substances
9. Pathological changes
10. Translational relevance
11. Toxicologic pathologist roles
12. Gaps in translational science
13. Challenges in the field
14. Positive impact on human health",2015
"1. Blood pressure
2. Theranostics
3. Technological trends
4. Clinical trends
5. Spatio-temporal approach
6. BP management
7. Temporal variability
8. Spatial variability
9. Hypertension
10. Antihypertensive drugs
11. Metabolism
12. Polypharmacy
13. Elderly
14. Diagnostic practices
15. Prognostic aspects",2015
"1. Translation
2. Human Biology
3. Special Issue
4. Critical Challenges
5. Species
6. Science Processes
7. Innovation
8. American Journal of Human Biology
9. Water
10. Energy
11. Environmental Degradation
12. Conflict
13. Disease
14. Food/Nutrition
15. Public Good",2015
"1. Membrane lipids
2. Biological membranes
3. Lipid bilayer
4. Physical properties
5. Signaling properties
6. Asymmetry
7. Domains
8. Protein recruitment
9. Interaction
10. Secondary messengers
11. Membrane functions",2015
