id,title,publication_date,abstract,MeSH
"26028629
16636189
19389575
8449052
23397304
24355646
13339837
13498635
6386295
15432464
14057629
5830602
3966827
2661388
1572447
1089991
6641300
5100497
1863023
19555860
21335128
21969018
16963536
17420352
15083767
20956169
20956167
15194173
19555852
8497283
10351941
16963540
23997053
21606405
23883377
25395036
15083760
19752321
12963183
12576349
19660388
2973404
23846611
11136677
23132237
23192917
22185711
19713419
22221974
25452462
25234805
25435525
17706409
18263674
22696079
24293464",Chronic thromboembolic pulmonary hypertension: the evolving treatment landscape.,2015-06-02,"Chronic thromboembolic pulmonary hypertension (CTEPH) is a unique form of pulmonary hypertension (PH) arising from the obstruction of pulmonary arterial vessels by organised thromboembolic material [1]. Much like other forms of PH, CTEPH has historically proven to be a challenging clinical entity in that it is frequently underdiagnosed and undertreated [1–3]. This lack of clinical recognition can result in patients with CTEPH experiencing progressive PH and eventual right ventricular failure [1, 4].","Angioplasty, Balloon|Antihypertensive Agents|Arterial Pressure|Endarterectomy|History, 20th Century|History, 21st Century|Humans|Hypertension, Pulmonary|Pulmonary Artery|Pulmonary Embolism|Pyrazoles|Pyrimidines|Treatment Outcome"
26027809,Editorial: Prevention Strategies Targeting Different Preclinical Stages of Alzheimer's Disease.,2015-06-02,"The incidence of dementia is rapidly increasing not only in developed countries but also in developing countries with rising aging populations. This trend is expected to worsen, with the number of cases possibly tripling in the coming decades. Over the last few decades, epidemiological studies have revealed that vascular-or lifestyle-related factors are associated with an increased risk of Alzheimer's disease (AD) and dementia. Researches into the pathophysiological processes of AD have revealed that the pathological brain lesions of AD begin decades before the onset of symptoms. Many prevention studies have indicated that physical activity and/or mental training can improve cognition and daily life in subjects with AD or mild cognitive impairment (MCI). However, issues with early detection and preclinical staging and effective preventive approaches that are based on these stages remain unresolved. Therefore, we propose different strategies for AD prevention based on its preclinical stages: one involves physical and mental training that targets the risk factors in subjects without pathophysiological changes, and the second approach combines nonpharmacological and pharmacological methods and aims to treat MCI in individuals with amyloid deposits and/or neurodegeneration with drugs that target the amyloid cascade. The results of several ongoing and promising trials are expected in the next few years.","Alzheimer Disease|Animals|Dementia|Disease Progression|Early Diagnosis|Humans|Translational Research, Biomedical"
26026376,Interplay among cytokines and T cell subsets in the progression and control of immune-mediated diseases.,2015-06-01,"Cytokines serve as key mediators of inflammation and tissue damage in a variety of immune-mediated disorders. The induction, progression, and resolution of inflammation in such disorders are characterized by a dynamic balance between both the pro-inflammatory and anti-inflammatory cytokines as well as the pathogenic and protective T cell subsets. Over the past two decades, the roles of the interleukin-17 (IL-17) /IL-23 axis and the T helper 17 (Th17)/ T regulatory (Treg) cell balance in the pathogenesis of autoimmunity and other inflammatory diseases have extensively been analyzed, and their significance validated. However, these studies, coupled with others devoted to well-established Th1/Th2 cytokines, have unraveled some challenging issues including the dual action of cytokines and the plasticity of T cell subsets. Nevertheless, major positive advances have also been made regarding cytokines and T cell subsets as therapeutic targets/agents. In this special issue, ""Cytokines in Immune Pathology and Therapy,"" leading experts have shared their research work and perspectives on the roles of cytokines in the development and control of immune-mediated diseases. An outline of 14 articles in the first volume is presented here. The second volume will follow soon.","Autoimmune Diseases|Autoimmunity|Cytokines|Disease Progression|Humans|Immune System Diseases|Inflammation|Interleukin-17|Interleukin-23|T-Lymphocyte Subsets|T-Lymphocytes, Regulatory|Th1 Cells|Th17 Cells"
26022560,Introduction to the supplement.,2015-05-30,"In July of 2014, a symposium entitled ""Enhancing Vaccine Immunity and Value"" was held in Siena, Italy. The focus of the symposium was on how to best meet the challenge of developing and implementing vaccines for future disease targets. Vaccination has been responsible for averting estimated 3 billion cases of disease and more than 500 million lives to date through the prevention of infectious diseases. This has largely been responsible for dramatic increases in life span in developed countries. However, with the demographics of the world's population are changing, with many adults now surviving into their 80s, we now face the challenge of protecting the aging and other underserved populations not only against infectious diseases but also against cancer and other chronic conditions that occur in older adults. To face this challenge, we must harness new technologies derived from recent advances in the fields of immunology, structural biology, synthetic biology and genomics that promise a revolution in the vaccine field. Specifically, vaccine adjuvants have the potential to harness the immune system to provide protection against new types of diseases, improve protection in young children and expand this protection to adults and the elderly. However, in order to succeed, we need to overcome the non-technical challenges that could limit the implementation of innovative vaccines, including controversies regarding the safety of adjuvants, increasing regulatory complexity, the inadequate methods used to assess the value of novel vaccines, and the resulting industry alienation from future investment. In this supplement, we have assembled manuscripts from lectures and discussions of the symposium last July that addressed two related questions: how to improve vaccine efficacy using breakthrough technologies and how to capture the full potential of novel vaccines.","Adjuvants, Immunologic|Clinical Studies as Topic|Drug Discovery|Humans|Vaccination|Vaccines"
26022470,"'The meaning of the symptom in psychiatry. An overview', by Hans W. Gruhle (1913): Introduction by Johan Schioldann and German Berrios: Translation by Johan Schioldann.",2015-05-30,"At the beginning of the 20th century there took place in German Psychiatry an important debate on the nature and relative importance of mental symptoms and diseases. Young psychiatrists such as Störring, Ziehen, Gaupp, Hoche, Jaspers and Gruhle challenged, from various perspectives, the nosology of established figures such as Kraepelin and Wernicke. The Classic Text is a commented translation of Gruhle's 1913 lecture on the meaning of mental symptoms. After concluding that mental symptoms should be used as the epistemological unit of analysis in psychiatry, Gruhle rued the fact that little was yet known about their inner structure. He believed that any account of the latter should include an account of the 'meaning' of mental symptoms, that is, of their role in the patient's total disease. Gruhle found Freud's account of meaning wanting, but was himself unable to offer a viable alternative. Be that as it may, his concern remains unanswered and is as relevant today as it was in 1913.","Germany|History, 21st Century|Humans|Mental Disorders|Psychiatry|Symptom Assessment"
26022295,Ring-tailed lemurs: a species re-imagined.,2015-05-30,"For over 50 years, ring-tailed lemurs have been studied continuously in the wild. As one of the most long-studied primate species, the length and breadth of their study is comparable to research on Japanese macaques, baboons and chimpanzees. They are also one of the most broadly observed of all primates, with comprehensive research conducted on their behaviour, biology, ecology, genetics, palaeobiology and life history. However, over the last decade, a new generation of lemur scholars, working in conjunction with researchers who have spent decades studying this species, have greatly enhanced our knowledge of ring-tailed lemurs. In addition, research on this species has expanded beyond traditional gallery forest habitats to now include high altitude, spiny thicket, rocky outcrop and anthropogenically disturbed coastal forest populations. The focus of this special volume is to 're-imagine' the 'flagship species of Madagascar', bringing together three generations of lemur scholars.","Animals|Behavior, Animal|Diet|Ecosystem|Lemur|Madagascar"
26016274,Haemophobia.,2015-05-29,"I recently finished an introductory session with a group of new start undergraduate nursing students about their responsibilities in clinical practice and was finishing up the session by checking if anyone had any questions. The usual questions were asked such as ""why is it called off duty and not on duty?"" Good question but once you have worked in clinical practice for a while the question of when you are off duty becomes very important more so than on duty! However, I was not expecting the following question which was, ""I faint when I see blood do I need to tell the mentor when I am out in practice?"" I am not often lost for words but this was one of those moments.","Blood|Humans|Mentors|Phobic Disorders|Students, Nursing"
26011045,Mortality in People with Intellectual Disabilities.,2015-05-27,"This paper reviews why an understanding of mortality data in general, and in relation to people with intellectual disabilities in particular, is an important area of concern, and introduces the papers in this Special Edition.",Humans|Intellectual Disability|Mortality|Population Surveillance
"26006709
19521761
17931430
17347341
21169524
25066478
2006224
11988764
26006708
22675906
16801953
15144486
16756395
10866211
18316677
23398756
18715282
19488046
15956873
15971764
21262036
16402870
14965458
25910772
15804931
8255953
18266485
25990672
20145962
15015679
16060809
25869327
23746066
25061266
17883446
21280930
25620996
18179328
10836090
16274438
557211
6872631
10774594
25941120
16000316
23929006
17241489
19960532
16770765
2138795
6683622
24799770
12524541
24015689
11803458
16741214
15318027
25956290
25967897
17300555
14629696
17176502
17935643
12960709
15122961
23573986
18473647
25640836
23398759
19436771",Genetic Influences on Peer and Family Relationships Across Adolescent Development: Introduction to the Special Issue.,2015-05-27,"Nearly all aspects of human development are influenced by genetic and environmental factors, which conjointly shape development through several gene-environment interplay mechanisms. More recently, researchers have begun to examine the influence of genetic factors on peer and family relationships across the pre-adolescent and adolescent time periods. This article introduces the special issue by providing a critical overview of behavior genetic methodology and existing research demonstrating gene-environment processes operating on the link between peer and family relationships and adolescent adjustment. The overview is followed by a summary of new research studies, which use genetically informed samples to examine how peer and family environment work together with genetic factors to influence behavioral outcomes across adolescence. The studies in this special issue provide further evidence of gene-environment interplay through innovative behavior genetic methodological approaches across international samples. Results from the quantitative models indicate environmental moderation of genetic risk for coercive adolescent-parent relationships and deviant peer affiliation. The molecular genetics studies provide support for a gene-environment interaction differential susceptibility model for dopamine regulation genes across positive and negative peer and family environments. Overall, the findings from the studies in this special issue demonstrate the importance of considering how genes and environments work in concert to shape developmental outcomes during adolescence.","Adolescent|Adolescent Behavior|Antisocial Personality Disorder|Family Relations|Female|Genetic Predisposition to Disease|Genetics, Behavioral|Humans|Male|Models, Genetic|Peer Group|Social Behavior Disorders"
26003235,Introduction.,2015-05-25,"This volume of the Handbook of Clinical Neurology deals with neurologic disorders of sex and bladder. Sexuality is for the large majority of humans a component of a fulfilled life, even though it is not ""vital"" in the usual sense of the word. However, dysfunctions of the lower urinary tract (LUT) are vital, as they may lead to chronic infection, dilatation of the upper urinary tract, renal insufficiency, and death. Sexual disorders and LUT are often mentioned in ancient literature, but most contemporary methods of diagnosis and treatment were only introduced in the 20th century. Despite the relatively high prevalence of these disorders, most physicians are ill prepared to discuss them with their patients, let alone to diagnose and treat them. It is the aim of this volume of the Handbook to try to reverse this attitude and convince neurologists that sexual and LUT function need to be addressed in their patients, for reasons of correct diagnosis and possible therapeutic consequences, as well as gaining overall trust from the patient.","Female|Humans|Male|Nervous System Diseases|Sexual Dysfunction, Physiological|Urologic Diseases"
26003049,"Time, space and the vertebrate body axis.",2015-05-25,"Anterior-posterior (A-P) patterning of the vertebrate main body axis regulated by timing. Anterior structures are specified early, posterior late. (1) Timing involves timed decision points as emphasised by the Wnt studies of Sokol and colleagues. It also involves complex timers, where large parts of the axis are patterned sequentially by a common upstream mechanism (articles by Durston et al., Mullins et al., Oates et al.,). (2) A gastrula BMP-anti BMP dependent time-space translation (TST) mechanism was demonstrated for the trunk section of the axis (Durston). (3) Thisses' studies emphasise the importance of BMP-anti BMP and the organiser inducing factor nodal for A-P patterning. (4) Meinhardt's interesting studies on the organiser and A-P patterning are reviewed in relation to TST. (5) Mullins' investigations show that anti-BMP dependent TST starts earlier (at the blastula stage) and extends further anteriorly (to the anterior head). Sive's studies imply it may extend further still to the ""extreme anterior domain"" (EAD). (6) The somitogenesis timer (clock) is presented. Stern's and Oates' findings are discussed. (7) Relations between somitogenesis and axial TST are discussed. (8) Relations of classical axial patterning pathways to TST decision points and somitogenesis are inventarised. In conclusion, all of these findings point to an integral BMP-anti BMP dependent A-P TST mechanism, running from cement gland in the EAD, Six3 and the anterior tip of the forebrain at blastula stages to Hox13 and the tip of the tail by the mid neurula stage. TST acts via sequential timed transitions between ventral (unstable, timed) and dorsal (stabilised) states. In the trunk-tail, the timer is thought to be Hox temporal collinearity and TST depends on Hox function. In the head, TST is under investigation. The somitogenesis clock is upstream of the TST timer, providing precision in the posterior part of the axis at least. Classical A-P signalling pathways: retinoids, FGFs and Wnts, change behaviour at functional decision points on the axis.",Animals|Body Patterning|Embryonic Development|Signal Transduction|Vertebrates
25998629,The anatomy of the mummy: mortui viventes docent--when ancient mummies speak to modern doctors.,2015-05-23,"There is almost a universal fascination with prehistoric, protohistoric, and historic human remains that preserve the soft tissues (nonskeletal) of the body (general definition of a mummy). While most people within the general public engage with mummies as part of a museum exhibit process, many scientists have taken that fascination much further. Starting as a general fascination with mummification, the scientific process involved in the study of mummies began in earnest in the late 18th Century AD. This issue of the Anatomical Record was conceived and formulated to bring together a series of researchers to highlight their most groundbreaking research on the scientific advances that surround the 21st Century AD study of these preserved biological beings including an illumination of the cultural processes that purposefully or inadvertently are preserved either within their tissues or are present within the context (archaeological) in which they are found (excavated). Twenty-six research articles are presented in this volume on a variety of topics all related to the rich transdisciplinary fields that are now directing their research efforts to the state-of-the art analysis of human mummified remains.",Archaeology|Humans|Mummies
25994947,Broadening the definition of autoinflammation.,2015-05-23,"Initially, the concept of autoinflammation posited that there be no involvement of autoreactive B or T cells, and no evidence of infection. These criteria served well to help establish the concept, and distinguish autoinflammatory diseases from autoimmune or infectious conditions. However, the characterisation of additional monogenic autoinflammatory diseases has established that a primary trigger of the innate immune system may also be accompanied by infection or manifestations of autoimmunity, which may even contribute to pathogenesis. This issue of Seminars in Immunopathology draws out these themes and also shows how autoinflammation can help to maintain homeostasis, which is its primary evolutionary function. Elucidating the fundamental innate immune pathways underlying autoinflammatory disease leads back to these same homeostatic parameters, to inform about how infection is sensed, and providing for new targets against chronic inflammatory disease.",Autoimmune Diseases|Hereditary Autoinflammatory Diseases|Humans|Inflammation
25991694,Livestock models in translational medicine.,2015-05-21,"This issue of the ILAR Journal focuses on livestock models in translational medicine. Livestock models of selected human diseases present important advantages as compared with rodent models for translating fundamental breakthroughs in biology to useful preventatives and therapeutics for humans. Livestock reflect the complexity of applying medical advances in an outbred species. In many cases, the pathogenesis of infectious, metabolic, genetic, and neoplastic diseases in livestock species more closely resembles that in humans than does the pathogenesis of rodent models. Livestock models also provide the advantage of similar organ size and function and the ability to serially sample an animal throughout the study period. Research using livestock models for human disease often benefits not only human health but animal health and food production as well. This issue of the ILAR Journal presents information on translational research using livestock models in two broad areas: microbiology and infectious disease (transmissible spongiform encephalopathies, mycobacterial infections, influenza A virus infection, vaccine development and testing, the human microbiota) and metabolic, neoplastic, and genetic disorders (stem cell therapy, male germ line cell biology, pulmonary adenocarcinoma, muscular dystrophy, wound healing). In addition, there is a manuscript devoted to Institutional Animal Care and Use Committees' responsibilities for reviewing research using livestock models. Conducting translational research using livestock models requires special facilities and researchers with expertise in livestock. There are many institutions in the world with experienced researchers and facilities designed for livestock research; primarily associated with colleges of agriculture and veterinary medicine or government laboratories.","Animals|Genomics|Livestock|Metabolic Diseases|Translational Research, Biomedical"
25990748,"Inquiry in bioethics and the philosophy of medicine: organ donation, defining death, and fairness in distribution.",2015-05-21,This issue of the Journal of Medicine and Philosophy brings together fresh essays addressing three main genres of questions: (1) questions about the nature of bioethical inquiry and the relevance of the humanities to medical practice; (2) questions regarding the ethics of organ donation; (3) questions bearing on the application of fairness to the distribution of medical resources.,"Bioethical Issues|Brain Death|Death|Health Care Rationing|Humans|Oral Health|Philosophy, Medical|Tissue and Organ Procurement"
"25966315
25134627
25296724
25559882
11237011
25073649
23889318
17211407
25046997
21386836
870828
16917149
25631332
25039449
25693561
21747116
22536923",Epigenetics and pharmacology.,2015-05-13,"Recent advances in the understanding of gene regulation have shown there to be much more regulation of the genome than first thought, through epigenetic mechanisms. These epigenetic mechanisms are systems that have evolved to either switch off gene activity altogether, or fine-tune any existing genetic activation. Such systems are present in all genes and include chromatin modifications and remodelling, DNA methylation (such as CpG island methylation rates) and histone covalent modifications (e.g. acetylation, methylation), RNA interference by short interfering RNAs (siRNAs) and long non-coding RNAs (ncRNAs). These systems regulate genomic activity 'beyond' simple transcriptional factor inducer or repressor function of genes to generate mRNA. Epigenetic regulation of gene activity has been shown to be important in maintaining normal phenotypic activity of cells, as well as having a role in development and diseases such as cancer and neurodegenerative disorders such as Alzheimer's. Newer classes of drugs regulate epigenetic mechanisms to counteract disease states in humans. The reports in this issue describe some advances in epigenetic understanding that relate to human disease, and our ability to control these mechanisms by pharmacological means. Increasingly the importance of epigenetics is being uncovered - it is pharmacology that will have to keep pace.","Acetylation|Alzheimer Disease|CpG Islands|DNA Methylation|Epigenesis, Genetic|Epigenomics|Gene Expression Regulation|Histones|Humans|Neoplasms|Pharmacology|RNA, Untranslated"
25959524,Developmental trajectories in cognitive-behavioral phenotypes: Introduction.,2015-05-12,"Developmental trajectories in behavioral phenotypes are important areas for systematic research and have been for more than 30 years. They interweave several important strands related to human growth: that of individuals born with some form of intellectual impairment or disability (ID); second, the genetics associated with intellectual ability and disability; and third, at the behavioral level, the dynamic expression and variability of specific abnormalities as individuals age. ID, and the genetic disorders that produce ID, were often not well-received by earlier societies. While the inheritance of behavior and intellectual ability has probably been observed throughout human history, the systematic investigation of the inheritance of intellectual ability probably begins with Sir Francis Galton, in his treatise Hereditary Genius in 1869. The dynamic features of ID have its roots in late 19th century developmental psychology and early 20th century pediatrics. Alfred Binet, along with his colleague Theodore Simon, created the first methods of formal intelligence testing of children for the French school system. Scores based on the items administered would then be used to distinguish children who were prepared for enrollment in a standard educational program from those who were not. The confluence of these research topics brings us to the subject of our Special Issue.","Autism Spectrum Disorder|Chromosome Aberrations|Cognition|History, 19th Century|History, 20th Century|History, 21st Century|Humans|Inheritance Patterns|Intellectual Disability|Mutation|Phenotype"
"25957359
28083306
16720812
25957364
20398582
25957368
25957365
25957366
25957367
25957369
25957370
25957371
25957372
25957373
24431335
25957361",Electronic health record innovations for healthier patients and happier doctors.,2015-05-10,"This special issue explores a range of health information technology (HIT) issues that can help primary care practices and patients. Findings address the design of HIT systems, primarily electronic health records (EHRs), the utility of various functionalities, and implementation strategies that ensure the greatest value. The articles also remind us that, while HIT can support the delivery of care, it is not a panacea. To be effective, functionality needs to be relevant and timely for both the clinician and patient. Prompts and better documentation can improve care, and ""prompt fatigue"" is not inevitable. Information presented within EHRs needs to be actionable. There is an ongoing tension between information overload and the right-and helpful-information. Even the order of presentation of information can make a difference in the outcome. Whether supported by HIT or not, basic tenants of care, such as including the whole care team in trainings, communicating with other providers, and engaging patients, remain essential. The studies in this issue will prove useful for informatics developers, practices and health systems making HIT decisions, and care teams refining HIT to support the needs of their patients.",Attitude of Health Personnel|Documentation|Electronic Health Records|Humans|Medical Informatics|Patient Care Team|Physician-Patient Relations|Primary Health Care|Quality Improvement|United States
"25953425
20925545
19798725
25322757
10757357
15294185
19738603
25200009
28178483
21772257
18186372
14560232
17704352
15722275
15155349
14500158
16545965
4039424
3561434
11360262
21194036
17382288
2922402
20163248
18828709
17376006
20517298",High-Pressure Transvenous Perfusion of the Upper Extremity in Human Muscular Dystrophy: A Safety Study with 0.9% Saline.,2015-05-09,"We evaluated safety and feasibility of high-pressure transvenous limb perfusion in an upper extremity of adult patients with muscular dystrophy, after completing a similar study in a lower extremity. A dose escalation study of single-limb perfusion with 0.9% saline was carried out in nine adults with muscular dystrophies under intravenous analgesia. Our study demonstrates that it is feasible and definitely safe to perform high-pressure transvenous perfusion with 0.9% saline up to 35% of limb volume in the upper extremities of young adults with muscular dystrophy. Perfusion at 40% limb volume is associated with short-lived physiological changes in peripheral nerves without clinical correlates in one subject. This study provides the basis for a phase 1/2 clinical trial using pressurized transvenous delivery into upper limbs of nonambulatory patients with Duchenne muscular dystrophy. Furthermore, our results are applicable to other conditions such as limb girdle muscular dystrophy as a method for delivering regional macromolecular therapeutics in high dose to skeletal muscles of the upper extremity.","Adult|Female|Gene Transfer Techniques|Genetic Therapy|Humans|Male|Middle Aged|Muscular Dystrophy, Duchenne|Perfusion|Pressure|Sodium Chloride|Treatment Outcome|Young Adult"
25945880,Editorial: in this issue.,2015-05-07,"In this issue, we are hosting several reviews on topics of broad interests, such as therapeutic or prophylactic antibodies, and the role of autophagy in autoimmunity.",Animals|Antibodies|Autoimmune Diseases|Autophagy|Humans|Immunotherapy
25936233,Introduction: Childhood implications of parental aging.,2015-05-06,"Men and women are increasingly delaying childbearing to the late 30s, the 40s and beyond. The implications of this societal change on childhood health and well-being have only recently been a focus of research. There are known increased perinatal risks associated with increasing maternal age, while paternal age seems to have a potentially greater negative impact on childhood health. Understanding the mechanisms underlying the aging of sperm and eggs, and how these changes impact offspring, is a critical next step as we work to help patients build healthy families.","Adolescent|Adult|Child|Child, Preschool|Cognition Disorders|Developmental Disabilities|Female|Humans|Infant|Infant, Newborn|Infertility|Male|Maternal Age|Middle Aged|Nervous System Diseases|Paternal Age|Pregnancy|Pregnancy Complications|Pregnancy Outcome|Pregnancy, High-Risk|Prevalence|Reproductive Behavior|Risk Assessment|Risk Factors"
25934596,Introduction: Fertility and longevity.,2015-05-03,The authors of this Views and Reviews outline the current understanding of the association between fertility and longevity. Natural fertility in populations that did not employ any contraception make up the model that attempts to define this relationship. Longevity seems to be increased in women with late-age conceptions and may be the result of genetic or environmental factors or both. A new concept is suggested that demonstrates the potential rejuvenating effect of pregnancy on older pregnant mothers. The link between infertility itself and conceptions at an older age with morbidity and mortality is summarized.,"Female|Fertility|Health Status|Humans|Infertility, Female|Longevity|Maternal Age|Maternal Welfare|Pregnancy|Regeneration|Risk Factors"
"25931060
22852678
25087068
22109037
25931071
19074309
25931078
17358897
20578760
23281652
25554887
25471882
25931064
18097073
0
24985798",The X-ray Pump-Probe instrument at the Linac Coherent Light Source.,2015-05-02,"The X-ray Pump-Probe instrument achieves femtosecond time-resolution with hard X-ray methods using a free-electron laser source. It covers a photon energy range of 4-24 keV. A femtosecond optical laser system is available across a broad spectrum of wavelengths for generating transient states of matter. The instrument is designed to emphasize versatility and the scientific goals encompass ultrafast physical, chemical and biological processes involved in the transformation of matter and transfer of energy at the atomic scale.","California|Crystallography, X-Ray|Energy Transfer|Equipment Design|Equipment Failure Analysis|Lasers|Lighting|Particle Accelerators|Spectrometry, X-Ray Emission|X-Rays"
"25925393
8782282
8782287
12556541
10190820
22114608
21352102
21558142
23165428
18836582
21123033
20727717
21678345
22393215
23335473
23870806
15458988
22491790
21074974
22941746
23218022
16504481
22075649
12365879
16648318
17611080
21034687
23351805
20124114
18765483
25904724
25943124
25439055
23429906
11479071
8782283
10813806
20300465
22998599
25904723
22575089
24954429
24700194
21852486
1373598
12668349
9012828
19925602
23318559
26032508
25000913
14084161
24309249
16055796
25189204
24132894",New Targets for Prevention of Schizophrenia: Is It Time for Interventions in the Premorbid Phase?,2015-05-01,"A number of influences have converged that make this Special Theme Issue timely: ""A New Direction: Considering Developmentally Sensitive Targets for Very Early Intervention in Schizophrenia"". These factors include: 1. the substantial knowledge about premorbid developmental vulnerabilities to psychosis, especially regarding schizophrenia; 2. the promising results emerging from interventions during the clinical high-risk (CHR) phase of psychosis and; 3. the recognition that the CHR period is a relatively late phase of developmental derailment. These factors have together led to a perspective that even earlier intervention is warranted. This paper briefly summarizes the articles comprising the Special Theme including new data on early neurocognitive development, proposed potential targets for psychosocial and psychopharmacological interventions during the premorbid period as early as pregnancy, and ethical challenges. These thought experiments must be empirically tested, and the ethical challenges overcome as posed by the various interventions, which range from relatively low risk, supportive, psychosocial to higher risk, experimental, pharmacological interventions. All of the interventions proposed require careful study of ethics, safety, potential stigma, feasibility, efficacy and tolerability, and the meaning to the people involved.",Early Medical Intervention|Humans|Prodromal Symptoms|Psychotic Disorders|Risk|Schizophrenia
25923823,"Diseases, patients and the epistemology of practice: mapping the borders of health, medicine and care.",2015-04-30,"Last year saw the 20th anniversary edition of JECP, and in the introduction to the philosophy section of that landmark edition, we posed the question: apart from ethics, what is the role of philosophy 'at the bedside'? The purpose of this question was not to downplay the significance of ethics to clinical practice. Rather, we raised it as part of a broader argument to the effect that ethical questions - about what we should do in any given situation - are embedded within whole understandings of the situation, inseparable from our beliefs about what is the case (metaphysics), what it is that we feel we can claim to know (epistemology), as well as the meaning we ascribe to different aspects of the situation or to our perception of it. Philosophy concerns fundamental questions: it is a discipline requiring us to examine the underlying assumptions we bring with us to our thinking about practical problems. Traditional academic philosophers divide their discipline into distinct areas that typically include logic: questions about meaning, truth and validity; ontology: questions about the nature of reality, what exists; epistemology: concerning knowledge; and ethics: how we should live and practice, the nature of value. Any credible attempt to analyse clinical reasoning will require us to think carefully about these types of question and the relationships between them, as they influence our thinking about specific situations and problems. So, the answers to the question we posed, about the role of philosophy at the bedside, are numerous and diverse, and that diversity is illustrated in the contributions to this thematic edition.","Evidence-Based Medicine|Humans|Knowledge|Metaphysics|Philosophy, Medical"
25921446,CHIMALI 2014: Bioactive Metabolites and Contaminants in Fruits and Vegetables.,2015-04-30,"The X Italian Congress of Food Chemistry (CHIMALI 2014) was organized in Florence, Italy, in July 2014 with 9 plenary lectures including 2 held by international guests, 51 oral communications, and 116 posters. These contributions were presented in five sessions: food authentication and traceability; botanicals and nutraceutical products; bioactive metabolites in foods: effects of extraction and processing; health foods: chemical composition, technological aspects, and biological properties; and treatment and valorization of food byproducts. The day dedicated to botanicals continued with a round table discussion titled ""Botanicals, nutraceuticals and health claims: future perspectives and contribution of the scientific community"", during which the role of European Food Safety and Authority (EFSA) was discussed and some experiences of well-known producers of botanical extracts were illustrated, together with the contributions of some experts on this theme.",Food Analysis|Food Contamination|Food Handling|Food Safety|Fruit|Humans|Vegetables
25920376,Review of the Mid-Atlantic Tick Summit III: A model for regional information sharing.,2015-04-30,"Ticks are the most significant vectors of infectious diseases in the United States, inspiring many researchers to study aspects of their biology, ecology, and their effects on public health. However, regional differences in tick abundance and pathogen infection prevalence result in the inability to assume results from one area are relevant in another. Current local information on tick ranges, infection rates, and human cases is needed to assess tick-borne disease risk in any given region. The Mid-Atlantic Tick Summit III brought together over 100 area experts and researchers to share regional updates on ticks and their associated pathogens. We report some meeting highlights here. Regional meetings foster cross-disciplinary collaborations that benefit the community, and open novel lines of inquiry so that tick-bite risk can be reduced and tick-borne diseases can be treated effectively.",Animals|Arachnid Vectors|Humans|Information Dissemination|Mid-Atlantic Region|Public Health|Tick-Borne Diseases|Ticks
25916828,Focus on induced pluripotency and cellular reprogramming.,2015-04-29,"Reflecting on the opportunities that ‘induced pluripotency’ offers for basic research and clinical translation, the 2015 Focus of ",Animals|Cellular Reprogramming|Humans|Induced Pluripotent Stem Cells|Periodicals as Topic
"25910921
20604110
3657877
6998594
2883393
11320385
0
3726393
15298225
23198130
23245604
23245608
25304633
25530442
25912287
25937611
17686194
25921727
25912288
24553294
25912286
24804797
25902362
25921288
25902360
25937612",Building the case for wider use of typhoid vaccines.,2015-04-26,"Efficacious typhoid fever vaccines have been available for decades. Typhoid fever burden of disease estimates indicate a substantial burden of illness and death in low-resource areas. The World Health Organization has recommended that countries consider the use of typhoid vaccines for high-risk groups and populations, and for outbreak control. Despite this, typhoid vaccines are not widely used in endemic areas. By examining strategies to improve burden of disease data, use of transmission dynamic models, economic evaluations, vaccine strategies, and experiences with typhoid vaccine pilot projects, the papers in this supplement help to plot the path toward rational and wider use of typhoid vaccines.",Humans|Immunization Programs|Salmonella typhi|Typhoid Fever|Typhoid-Paratyphoid Vaccines
"25906759
23853589
25757061
25214632
0
25892682
25749135
25747532
25857229
21690621
18039138
18420927
24344259",Molecular pathogenesis lessons from the world of infectious diseases research.,2015-04-25,"This Guest Editorial introduces this month's special Infectious Disease Theme Issue, a series of reviews focusing on the molecular pathogenic processes of four representative pathogens, including two bacteria (brucellae and Staphylococcus aureus), a virus (influenza), and a parasite (Trypanosoma cruzi).",Communicable Diseases|Humans
25905899,A train of thought: 25 years of Psychotherapy research.,2015-04-24,"This paper serves as an introduction to the 25th anniversary issue of Psychotherapy research. It includes a consideration of the original aims of the journal in light of the most cited articles, various developments in research orientation and methodology, and most recent publications. It demonstrates both diversity and consistency in content over time, as well as the international reach of the journal.",Anniversaries and Special Events|Humans|Periodicals as Topic|Psychotherapy|Research
